index,ID,Name,FullName,Age,Nationality,Club,Image,Position,Overall,Potential,Value,Wage,URL
0,20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,32,Portugal,Real Madrid CF,https://cdn.sofifa.org/48/18/players/20801.png,"LW, ST",94,94,€95.5M,€565K,https://sofifa.com/player/20801
1,158023,L. Messi,Lionel Messi,30,Argentina,FC Barcelona,https://cdn.sofifa.org/48/18/players/158023.png,"RW, ST, CF",93,93,€105M,€565K,https://sofifa.com/player/158023
2,190871,Neymar,Neymar da Silva Santos Jr.,25,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/48/18/players/190871.png,LW,92,94,€123M,€280K,https://sofifa.com/player/190871
3,176580,L. Suárez,Luis Suárez,30,Uruguay,FC Barcelona,https://cdn.sofifa.org/48/18/players/176580.png,ST,92,92,€97M,€510K,https://sofifa.com/player/176580
4,167495,M. Neuer,Manuel Neuer,31,Germany,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/167495.png,GK,92,92,€61M,€230K,https://sofifa.com/player/167495
5,193080,De Gea,David De Gea Quintana,26,Spain,Manchester United,https://cdn.sofifa.org/48/18/players/193080.png,GK,91,93,€74.5M,€295K,https://sofifa.com/player/193080
6,192985,K. De Bruyne,Kevin De Bruyne,26,Belgium,Manchester City,https://cdn.sofifa.org/48/18/players/192985.png,"CAM, CM",91,92,€104.5M,€395K,https://sofifa.com/player/192985
7,188545,R. Lewandowski,Robert Lewandowski,28,Poland,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/188545.png,ST,91,91,€92M,€355K,https://sofifa.com/player/188545
8,183277,E. Hazard,Eden Hazard,26,Belgium,Chelsea,https://cdn.sofifa.org/48/18/players/183277.png,"LW, CF",91,91,€95.5M,€405K,https://sofifa.com/player/183277
9,182521,T. Kroos,Toni Kroos,27,Germany,Real Madrid CF,https://cdn.sofifa.org/48/18/players/182521.png,"CM, CDM",90,90,€79M,€340K,https://sofifa.com/player/182521
10,167664,G. Higuaín,Gonzalo Higuaín,29,Argentina,Juventus,https://cdn.sofifa.org/48/18/players/167664.png,ST,90,90,€77M,€275K,https://sofifa.com/player/167664
11,155862,Sergio Ramos,Sergio Ramos García,31,Spain,Real Madrid CF,https://cdn.sofifa.org/48/18/players/155862.png,CB,90,90,€52M,€310K,https://sofifa.com/player/155862
12,211110,P. Dybala,Paulo Dybala,23,Argentina,Juventus,https://cdn.sofifa.org/48/18/players/211110.png,"CAM, ST",89,94,€89M,€215K,https://sofifa.com/player/211110
13,192119,T. Courtois,Thibaut Courtois,25,Belgium,Chelsea,https://cdn.sofifa.org/48/18/players/192119.png,GK,89,92,€59M,€190K,https://sofifa.com/player/192119
14,178603,M. Hummels,Mats Hummels,28,Germany,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/178603.png,CB,89,89,€54M,€215K,https://sofifa.com/player/178603
15,177003,L. Modrić,Luka Modrić,31,Croatia,Real Madrid CF,https://cdn.sofifa.org/48/18/players/177003.png,"CM, CDM",89,89,€57M,€340K,https://sofifa.com/player/177003
16,168542,David Silva,David Josué Jiménez Silva,31,Spain,Manchester City,https://cdn.sofifa.org/48/18/players/168542.png,"CAM, CM",89,89,€58.5M,€285K,https://sofifa.com/player/168542
17,153079,S. Agüero,Sergio Agüero,29,Argentina,Manchester City,https://cdn.sofifa.org/48/18/players/153079.png,ST,89,89,€66.5M,€325K,https://sofifa.com/player/153079
18,138956,G. Chiellini,Giorgio Chiellini,32,Italy,Juventus,https://cdn.sofifa.org/48/18/players/138956.png,CB,89,89,€38M,€225K,https://sofifa.com/player/138956
19,1179,G. Buffon,Gianluigi Buffon,39,Italy,Juventus,https://cdn.sofifa.org/48/18/players/1179.png,GK,89,89,€4.5M,€110K,https://sofifa.com/player/1179
20,215914,N. Kanté,N'Golo Kanté,26,France,Chelsea,https://cdn.sofifa.org/48/18/players/215914.png,"CDM, CM",88,90,€59.5M,€245K,https://sofifa.com/player/215914
